open_time,Open,high,low,Close,volume,close_time,quote_asset_volume,num_of_trades,taker_buy_base,taker_buy_quote 
2021-05-23 17:00:00,1848.11,1886.0,1841.54,1869.65,5315.85711,2021-05-23 17:00:59.999,9887495.1989905,6167,2567.52744,4777313.360108
2021-05-23 17:01:00,1869.65,1891.0,1865.19,1888.93,5280.3288,2021-05-23 17:01:59.999,9932817.1606849,5483,3213.45665,6049048.7375379
2021-05-23 17:02:00,1888.88,1899.97,1880.89,1889.95,4433.45749,2021-05-23 17:02:59.999,8379407.0033227,5290,2442.46778,4617062.3908436
2021-05-23 17:03:00,1889.96,1950.0,1889.05,1926.88,7839.18632,2021-05-23 17:03:59.999,15083623.7245247,9837,4773.62057,9180859.5733635
2021-05-23 17:04:00,1927.38,1945.1,1914.1,1936.77,5682.82133,2021-05-23 17:04:59.999,10955961.1575145,6547,3374.67582,6502216.024405
2021-05-23 17:05:00,1936.7,1980.0,1936.68,1964.2,7750.20237,2021-05-23 17:05:59.999,15205940.6657202,8447,4385.721,8604016.711761
2021-05-23 17:06:00,1964.1,1989.0,1941.99,1977.43,5013.11002,2021-05-23 17:06:59.999,9820267.0313535,6304,2541.96406,4984092.9677237
2021-05-23 17:07:00,1978.77,1999.0,1966.57,1978.92,8023.32575,2021-05-23 17:07:59.999,15943718.0465196,7393,4794.64763,9525192.5468655
2021-05-23 17:08:00,1980.77,1989.0,1950.63,1977.86,5854.52582,2021-05-23 17:08:59.999,11541766.2193039,6143,2834.03941,5590714.1440034
2021-05-23 17:09:00,1977.86,1994.0,1967.79,1971.34,4185.95199,2021-05-23 17:09:59.999,8292418.8293408,4810,2404.0384,4765503.6844862
2021-05-23 17:10:00,1971.6,1973.77,1945.91,1946.08,4409.1042,2021-05-23 17:10:59.999,8625667.6838698,5082,1870.58114,3661328.7713747
2021-05-23 17:11:00,1946.52,1965.56,1945.38,1949.73,3966.85769,2021-05-23 17:11:59.999,7748017.5682997,4603,1982.40583,3871431.1797504
2021-05-23 17:12:00,1950.54,1954.72,1944.54,1947.35,4268.69532,2021-05-23 17:12:59.999,8320256.0634445,4562,1745.7701,3403298.5763531
2021-05-23 17:13:00,1947.41,1951.99,1940.89,1944.82,3212.94447,2021-05-23 17:13:59.999,6257129.9058474,3825,1532.83001,2985679.8617597
2021-05-23 17:14:00,1944.82,1964.38,1944.51,1960.12,5185.15837,2021-05-23 17:14:59.999,10138418.4535444,4837,3265.45308,6381616.1084037
2021-05-23 17:15:00,1960.12,1962.75,1928.3,1937.74,4272.30524,2021-05-23 17:15:59.999,8299078.2446227,4974,1615.39981,3137342.243163
