open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_of_trades,taker_buy_base,taker_buy_quote
2019-08-14 20:00:00,186.45,190.5,185.17,187.1,43835.1829,2019-08-14 23:59:59.999,8236114.4912295,26670,22492.73482,4226650.0302996
2019-08-15 00:00:00,187.08,189.95,186.98,188.63,27285.50284,2019-08-15 01:59:59.999,5148351.1002176,13384,13202.43829,2490972.4513915
2019-08-15 08:00:00,188.55,188.55,181.26,185.3,43501.89922,2019-08-15 11:59:59.999,8011751.5755007,20464,19500.84228,3591854.4408305
2019-08-15 12:00:00,185.31,187.48,181.23,186.47,53388.16285,2019-08-15 15:59:59.999,9817736.8869489,31148,25505.74723,4692976.6195286
2019-08-15 16:00:00,186.46,188.01,182.84,184.76,46900.90714,2019-08-15 19:59:59.999,8670147.0728224,22505,21062.62848,3890728.5797041
2019-08-15 20:00:00,184.76,189.43,184.4,188.03,66876.62221,2019-08-15 23:59:59.999,12535774.0706159,31507,30958.8592,5803590.2274607
2019-08-16 00:00:00,187.98,188.39,185.5,186.98,32147.21853,2019-08-16 03:59:59.999,6017982.0573383,20602,16174.45378,3028075.1294226
2019-08-16 04:00:00,186.96,187.28,180.0,182.01,65350.65018,2019-08-16 07:59:59.999,11967672.8837405,32006,29888.27733,5474434.4230446
2019-08-16 08:00:00,182.03,186.21,178.04,183.67,88925.35689,2019-08-16 11:59:59.999,16264327.8681929,38991,44401.84251,8126332.8554308
2019-08-16 12:00:00,183.74,186.76,182.13,185.81,44802.87331,2019-08-16 15:59:59.999,8241413.7971982,24405,22782.9398,4191345.3348065
2019-08-16 16:00:00,185.81,186.79,184.3,185.72,29786.82484,2019-08-16 19:59:59.999,5523473.5897529,17764,15659.62576,2904051.9026789
2019-08-16 20:00:00,185.7,187.68,184.35,184.88,21164.09209,2019-08-16 23:59:59.999,3930312.2746379,16927,11423.88154,2121700.8708234
2019-08-17 00:00:00,184.83,185.45,182.86,183.93,27774.66857,2019-08-17 03:59:59.999,5122194.3512863,18542,13830.48649,2550903.7147153
2019-08-17 04:00:00,183.87,185.8,183.69,184.75,18694.89115,2019-08-17 07:59:59.999,3454128.8571609,15634,9712.60684,1794374.6318031
2019-08-17 08:00:00,184.76,186.57,184.4,185.07,24876.32236,2019-08-17 11:59:59.999,4614246.5645622,18884,11805.03733,2190550.4036429
2019-08-17 12:00:00,185.07,185.25,183.42,184.2,20788.39846,2019-08-17 15:59:59.999,3833832.8974365,15712,11403.46183,2103356.53486
2019-08-17 16:00:00,184.21,185.16,181.83,182.83,30344.38575,2019-08-17 19:59:59.999,5559476.9864614,18814,15648.9835,2867239.7947049
2019-08-17 20:00:00,182.85,187.0,182.5,185.59,16320.94879,2019-08-17 23:59:59.999,3015917.2477443,14135,8794.33866,1625979.9304543
2019-08-18 00:00:00,185.67,186.88,183.62,184.02,12937.64816,2019-08-18 03:59:59.999,2393729.9035874,12080,6609.8425,1223051.6360164
2019-08-18 04:00:00,183.97,185.6,183.35,184.77,12141.34462,2019-08-18 07:59:59.999,2239698.2475389,11130,5867.38944,1082228.5114435
