open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_of_trades,taker_buy_base,taker_buy_quote
2021-01-15 00:00:00,39145.21,39747.76,39023.24,39452.89,3774.330608,2021-01-15 00:59:59.999,149015360.55895156,80654,1813.914332,71628902.11570069
2021-01-15 01:00:00,39452.89,39640.0,39012.12,39175.74,2907.102569,2021-01-15 01:59:59.999,114488133.3316931,67692,1465.813594,57732152.69891964
2021-01-15 02:00:00,39175.73,39479.65,38800.0,39267.76,2742.797812,2021-01-15 02:59:59.999,107593579.36330459,68144,1391.220417,54571404.28794153
2021-01-15 03:00:00,39267.76,39349.58,38450.0,38700.0,3549.506053,2021-01-15 03:59:59.999,137776261.038856,88794,1751.76455,67996021.76730338
2021-01-15 04:00:00,38700.0,38853.09,38355.0,38425.83,2792.0441,2021-01-15 04:59:59.999,107691922.3921917,64920,1284.012214,49531729.0520894
2021-01-15 05:00:00,38425.82,38849.99,37808.0,37808.9,3634.095611,2021-01-15 05:59:59.999,139288945.37497917,79527,1573.364916,60341434.86561976
2021-01-15 06:00:00,37808.9,38098.0,37554.94,38043.27,4123.493724,2021-01-15 06:59:59.999,156128218.16931173,84166,2003.829031,75876919.06561176
2021-01-15 07:00:00,38044.94,38483.82,37704.8,38473.08,3768.177243,2021-01-15 07:59:59.999,144144283.5509061,91002,1778.556876,68036440.23177902
2021-01-15 08:00:00,38473.07,38700.0,38153.17,38280.2,3113.972927,2021-01-15 08:59:59.999,119590741.84337465,83493,1599.637345,61442495.48300634
2021-01-15 09:00:00,38280.2,38718.02,38016.17,38679.36,3356.499665,2021-01-15 09:59:59.999,128916245.16560999,98018,1767.693124,67911754.92516476
2021-01-15 10:00:00,38677.24,38780.0,38314.2,38441.89,2224.431673,2021-01-15 10:59:59.999,85760838.32974271,79176,1080.727694,41668853.45542037
2021-01-15 11:00:00,38441.89,38573.84,37923.0,38108.88,3028.510379,2021-01-15 11:59:59.999,115607110.50743183,74800,1339.045725,51120391.63829057
2021-01-15 12:00:00,38108.87,38194.04,37200.0,37770.63,6046.111543,2021-01-15 12:59:59.999,227455772.13223085,121039,2849.489565,107207023.7459295
2021-01-15 13:00:00,37770.64,37888.88,37251.11,37683.94,4557.685702,2021-01-15 13:59:59.999,171183584.21508545,102938,2314.71682,86899329.5780601
2021-01-15 14:00:00,37683.93,37786.74,36641.0,36939.49,6587.752786,2021-01-15 14:59:59.999,244381841.17567056,134091,3104.668657,115187209.27424002
2021-01-15 15:00:00,36940.11,36999.0,35258.0,35610.72,11637.874872,2021-01-15 15:59:59.999,421633941.4037561,213976,5856.793316,212284608.8498715
2021-01-15 16:00:00,35610.79,36400.0,34408.0,36151.09,16406.907333,2021-01-15 16:59:59.999,582299642.5902541,286255,7784.644846,276322903.50920045
